Word,Description
Actor,a theatrical performer
Acute,having or experiencing a rapid onset and short but severe course
Adage,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
Adams,"a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)"
Adana,a city in southern Turkey on the Seyhan River
Adapa,a Babylonian demigod or first man (sometimes identified with Adam)
Adapt,adapt or conform oneself to new or different conditions
Addax,large antelope with lightly spiraled horns of desert regions of northern Africa
Adder,small terrestrial viper common in northern Eurasia
Addle,become rotten
Adept,having or showing knowledge and skill and aptitude
Adieu,a farewell remark
Adige,a river in northern Italy that flows southeast into the Adriatic Sea
Adios,a farewell remark
Aditi,a Hindu goddess who releases from sin or disease; mother of the Adityas
Adman,someone whose business is advertising
Admit,declare to be true or admit the existence or reality or truth of
Admix,mix or blend
Adobe,sun-dried brick; used in hot dry climates
Adobo,a dish of marinated vegetables and meat or fish; served with rice
Adopt,take into one's family
Adore,love intensely
Adorn,"make more attractive by adding ornament, colour, etc."
Adult,(of animals) fully developed
Adust,burned brown by the sun; - Sir Walter Scott
Advil,a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and Nuprin) used to relieve the pain of arthritis and as an antipyretic
Aedes,yellow-fever mosquitos
Aegir,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary)
Aegis,kindly endorsement and guidance
Aerie,any habitation at a high altitude
Aesir,(Norse mythology) the chief race of gods living at Asgard
Aesop,Greek author of fables (circa 620-560 BC)
Affix,a linguistic element added to a word to produce an inflected or derived form
Afire,lighted up by or as by fire or flame
Afisr,an agency focused on ensuring that the United States military attains information superiority; operates worldwide ground sites and an array of airborne reconnaissance and surveillance platforms
Afoot,currently in progress
Afoul,especially of a ship's lines etc
Afspc,a command of the United States Air Force that is responsible for defending the United States through its space and intercontinental ballistic missile operations
After,located farther aft
Again,anew
Agama,small terrestrial lizard of warm regions of the Old World
Agape,with the mouth wide open as in wonder or awe
Agate,an impure form of quartz consisting of banded chalcedony; used as a gemstone and for making mortars and pestles
Agave,tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber
Agaze,(used of eyes) open and fixed as if in fear or wonder
Agene,a yellow pungent volatile oil (trade name Agene) formerly used for bleaching and aging flour
Agent,the semantic role of the animate entity that instigates or causes the happening denoted by the verb in the clause
Aggro,(informal British usage) aggravation or aggression
Aghan,the ninth month of the Hindu calendar
Agile,moving quickly and lightly
Aging,growing old
Agism,discrimination against middle-aged and elderly people
Aglet,ornamental tagged cord or braid on the shoulder of a uniform
Aglow,softly bright or radiant
Agone,gone by; or in the past
Agony,intense feelings of suffering; acute mental or physical pain
Agora,a place of assembly for the people in ancient Greece
Agree,"consent or assent to a condition, or agree to do something"
Ahead,having the leading position or higher score in a contest
Ahura,(Zoroastrianism) title for benevolent deities
Aided,having help; often used as a combining form
Aides,(Greek mythology) the god of the underworld in ancient mythology; brother of Zeus and husband of Persephone
Aiken,United States writer (1889-1973)
Ailey,United States choreographer noted for his use of African elements (born in 1931)
Aioli,garlic mayonnaise
Aired,open to or abounding in fresh air
Aisle,passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
Ajaia,a genus of Platalea
Ajuga,bugle
Akaba,Jordan's port; located in southwestern Jordan on the Gulf of Aqaba
Akron,a city in northeastern Ohio; the heart of the United States rubber industry
Alamo,a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
Alarm,a device that signals the occurrence of some undesirable event
Alary,having or resembling wings
Alate,(of seeds or insects) having winglike extensions
Albee,United States dramatist (1928-)
Album,a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
Alcea,genus of erect herbs of the Middle East having showy flowers: hollyhocks; in some classification systems synonymous with genus Althaea
Alces,elk or moose
Alder,north temperate shrubs or trees having toothed leaves and conelike fruit; bark is used in tanning and dyeing and the wood is rot-resistant
Aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO)
Aleph,the 1st letter of the Hebrew alphabet
Alert,engaged in or accustomed to close observation
Aleut,the language spoken by the Aleut
Aleve,a nonsteroidal anti-inflammatory drug (trademarks Aleve and Anaprox and Aflaxen) that fights pain and inflammation
Algae,primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
Algal,of or relating to alga
Alger,United States author of inspirational adventure stories for boys; virtue and hard work overcome poverty (1832-1899)
Algid,chilly
Algin,a gum used especially as a thickener or emulsifier
Algol,(from a combination of ALGOrithmic and Language); a programming language used to express computer programs as algorithms
Alias,as known or named at another time or place
Alibi,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
Alien,being or from or characteristic of another place or part of the world
Align,place in a line or arrange so as to be parallel or straight
Alike,having the same or similar characteristics
Aline,place in a line or arrange so as to be parallel or straight
Alive,capable of erupting
Alkyd,a durable synthetic resin widely used in adhesives and paints
Alkyl,any of a series of univalent groups of the general formula CnH2n+1 derived from aliphatic hydrocarbons
Allah,Muslim name for the one and only God
Allay,satisfy (thirst)
Allen,a soldier of the American Revolution whose troops helped capture Fort Ticonderoga from the British (1738-1789)
Alley,a narrow street with walls on both sides
Allis,European shad
Allot,give out
Allow,allow or plan for a certain possibility; concede the truth or validity of something
Alloy,the state of impairing the quality or reducing the value of something
Allyl,the univalent unsaturated organic radical C3H5; derived from propylene
Alnus,alders
Aloes,a purgative made from the leaves of aloe
Aloft,in the higher atmosphere above the earth
Aloha,an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian)
Alone,radically distinctive and without equal
Along,with a forward motion
Aloof,remote in manner
Alosa,shad
Aloud,using the voice; not silently
Alpha,early testing stage of a software or hardware product
Altar,a raised structure on which gifts or sacrifices to a god are made
Alter,remove the ovaries of
Alula,tuft of small stiff feathers on the first digit of a bird's wing
Amain,with all your strength
Amass,collect or gather
Amati,a violin made by Nicolo Amati or a member of his family
Amaze,be a mystery or bewildering to
Amber,of a medium to dark brownish yellow color
Ambit,an area in which something acts or operates or has power or control:
Amble,a leisurely walk (usually in some public place)
Ameba,naked freshwater or marine or parasitic protozoa that form temporary pseudopods for feeding and locomotion
Ameer,an independent ruler or chieftain (especially in Africa or Arabia)
Amend,set straight or right
Ament,a cylindrical spikelike inflorescence
Amide,any organic compound containing the group -CONH2
Amigo,a friend or comrade
Amine,a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
Amino,pertaining to or containing any of a group of organic compounds of nitrogen derived from ammonia
Amish,an American follower of the Mennonite religion
Amiss,not functioning properly
Amity,a cordial disposition
Amman,the capital and largest city of Jordan
Amnic,of or related to the amnion or characterized by developing an amnion
Amnio,(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities
Amora,one of a group of rabbis (active AD 250-500) who discussed the Mishnaic law in the law schools of Palestine and Mesopotamia where they explained and applied earlier teachings and whose discussions are recorded in the Talmud; they emphasized the study of Torah and the importance of personal action and the fulfillment of the commandments
Amort,utterly cast down
Amour,a usually secretive or illicit sexual relationship
Ample,affording an abundant supply
Amply,sufficiently; more than adequately
Ampul,a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
Amuck,frenzied as if possessed by a demon
Babar,an imaginary elephant that appears in a series of French books for children
Babel,a confusion of voices and other sounds
Babka,a coffee cake flavored with orange rind and raisins and almonds
Baboo,used as a Hindi courtesy title; equivalent to English `Mr'
Bacca,an indehiscent fruit derived from a single ovary having one or many seeds within a fleshy wall or pericarp: e.g. grape; tomato; cranberry
Baccy,leaves of the tobacco plant dried and prepared for smoking or ingestion
Bacon,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
Badge,any feature that is regarded as a sign of status (a particular power or quality or rank)
Badly,(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well
Baeda,(Roman Catholic Church) English monk and scholar (672-735)
Bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
Baggy,not fitting closely; hanging loosely
Bahai,of or relating to Bahaism
Bairn,a child: son or daughter
Baisa,"1,000 baiza equal 1 riyal-omani in Oman"
Baiza,"1,000 baiza equal 1 riyal-omani in Oman"
Baize,a bright green fabric napped to resemble felt; used to cover gaming tables
Baked,(bread and pastries) cooked by dry heat (as in an oven)
Baker,someone who bakes bread or cake
Balas,a pale rose-colored variety of the ruby spinel
Baldr,(Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
Baldy,a person whose head is bald
Balky,stopping short and refusing to go on
Bally,informal intensifiers
Balmy,mild and pleasant
Balsa,forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts
Banal,repeated too often; overfamiliar through overuse
Bandy,have legs that curve outward at the knees
Banff,a popular vacation spot in the Canadian Rockies
Banjo,a stringed instrument of the guitar family that has long neck and circular body
Banks,English botanist who accompanied Captain Cook on his first voyage to the Pacific Ocean (1743-1820)
Banns,a public announcement of a proposed marriage
Bantu,of or relating to the African people who speak one of the Bantoid languages or to their culture
Barbu,found along western Atlantic coast
Barde,put a caparison on
Bared,having the head uncovered
Barge,a flatbottom boat for carrying heavy loads (especially on canals)
Baric,of or relating to or containing barium
Barky,resembling the rough bark of a tree
Barmy,informal or slang terms for mentally irregular
Baron,a very wealthy or powerful businessman
Barth,United States novelist (born in 1930)
Barye,the absolute unit of pressure equal to one dyne per square centimeter
Basal,especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem
Based,having a base of operations (often used as a combining form)
Basel,a city in northwestern Switzerland
Basia,the second largest city in Iraq; an oil port in southern Iraq
Basic,of or denoting or of the nature of or containing a base
Basil,leaves of the common basil; used fresh or dried
Basin,a bowl-shaped vessel; usually used for holding food or liquids
Basis,the fundamental assumptions from which something is begun or developed or calculated or explained
Basle,a city in northwestern Switzerland
Basra,the second largest city in Iraq; an oil port in southern Iraq
Basso,the lowest adult male singing voice
Baste,a loose temporary sewing stitch to hold layers of fabric together
Batch,a collection of things or persons to be handled together
Bated,diminished or moderated
Bathe,the act of swimming
Batik,a dyed fabric; a removable wax is used where the dye is not wanted
Batis,small genus of plants constituting the family Batidaceae: low straggling dioecious shrubs
Batna,a town in north central Algeria
Baton,a thin tapered rod used by a conductor to lead an orchestra or choir
Batty,informal or slang terms for mentally irregular
Baulk,one of several parallel sloping beams that support a roof
Bawdy,humorously vulgar
Bayat,an oath of allegiance to an emir
Bayer,"the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
Bayes,English mathematician for whom Bayes' theorem is named (1702-1761)
Bayou,a swampy arm or slow-moving outlet of a lake (term used mainly in Mississippi and Louisiana)
Bazar,a shop where a variety of goods are sold
Beach,an area of sand sloping down to the water of a sea or lake
Beads,several beads threaded together on a string
Beady,covered with beads or jewels or sequins
Beamy,radiating or as if radiating light
Beano,a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
Beany,a small skullcap; formerly worn by schoolboys and college freshmen
Beard,tuft of strong filaments by which e.g. a mussel makes itself fast to a fixed surface
Beast,a living organism characterized by voluntary movement
Beats,"a United States youth subculture of the 1950s; rejected possessions or regular work or traditional dress; for communal living and psychedelic drugs and anarchism; favored modern forms of jazz (e.g., bebop)"
Beaut,an outstanding example of its kind
Bebop,an early form of modern jazz (originating around 1940)
Bedew,cover with drops of dew or as with dew
Bedim,make obscure or unclear
Beech,any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions
Beefy,muscular and heavily built
Beery,smelling of beer
Befit,accord or comport with
Befog,make less visible or unclear
Beget,make children
Begin,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
Begum,a Muslim woman of high rank in India or Pakistan
Beige,of a light greyish-brown color
Being,a living thing that has (or can develop) the ability to act or function independently
Beira,a port city in eastern Mozambique on the Mozambique Channel
Belau,a chain of more than 200 islands about 400 miles long in the western central Pacific Ocean
Belay,something to which a mountain climber's rope can be secured
Belch,a reflex that expels gas noisily from the stomach through the mouth
Belem,port city in northern Brazil in the Amazon delta; main port and commercial center for the Amazon River basin
Belie,represent falsely
Belle,a young woman who is the most charming and beautiful of several rivals
Belly,the underpart of the body of certain vertebrates such as snakes or fish
Below,at a later place
Bench,a long seat for more than one person
Bends,pain resulting from rapid change in pressure
Benet,United States writer; brother of Stephen Vincent Benet (1886-1950)
Benin,a country on western coast of Africa; formerly under French control
Benne,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
Benni,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
Benny,United States comedian known for his timeing and delivery and self-effacing humor (1894-1974)
Bercy,butter creamed with white wine and shallots and parsley
Beret,a cap with no brim or bill; made of soft cloth
Beria,Soviet chief of secret police under Joseph Stalin; was executed by his associates in the power struggle following Stalin's death (1899-1953)
Berit,the Jewish rite of circumcision performed on a male child on the eighth day of his life
Berne,the capital of Switzerland; located in western Switzerland
Beroe,delicately iridescent thimble-shaped ctenophores
Berra,United States baseball player (born 1925)
Berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
Berth,a job in an organization
Beryl,the chief source of beryllium; colored transparent varieties are valued as gems
Beset,assail or attack on all sides:
Besom,a broom made of twigs tied together on a long handle
Besot,make dull or stupid or muddle with drunkenness or infatuation
Betel,Asian pepper plant whose dried leaves are chewed with betel nut (seed of the betel palm) by southeast Asians
Bethe,United States physicist (born in Germany) noted for research in astrophysics and nuclear physics (1906-2005)
Bevel,a hand tool consisting of two rules that are hinged together so you can draw or measure angles of any size
Bevin,British labor leader and statesman who played an important role in diplomacy after World War II (1884-1951)
Bezel,a sloping edge on a cutting tool
Bhaga,Hindu god of wealth and love
Bhang,a preparation of the leaves and flowers of the hemp plant; much used in India
Bialy,flat crusty-bottomed onion roll
Bible,a book regarded as authoritative in its field
Bibos,wild ox
Biddy,young bird especially of domestic fowl
Bidet,a basin for washing genitals and anal area
Bifid,divided into two lobes
Bight,the middle part of a slack rope (as distinguished from its ends)
Bigos,a Polish stew of cabbage and meat
Bigot,a prejudiced person who is intolerant of any opinions differing from his own
Bihar,a state of northeastern India
Bijou,a small and delicately worked piece
Bilby,bandicoot with leathery ears like a rabbit
Bilge,where the sides of the vessel curve in to form the bottom
Bilgy,smelling like bilge water
Billy,male goat
Bimbo,a young woman indulged by rich and powerful older men
Bimli,valuable fiber plant of East Indies now widespread in cultivation
Binet,French psychologist remembered for his studies of the intellectual development of children (1857-1911)
Binge,an occasion for excessive eating or drinking
Bingo,a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
Bioko,an island in the Gulf of Guinea that is part of Equatorial Guinea
Biome,a major biotic community characterized by the dominant forms of plant life and the prevailing climate
Biont,a discrete unit of living matter
Biota,all the plant and animal life of a particular region
Biped,having two feet
Birch,consisting of or made of wood of the birch tree
Birle,cause a floating log to rotate by treading
Birth,the event of being born
Bison,any of several large humped bovids having shaggy manes and large heads and short horns
Bitch,female of any member of the dog family
Biter,someone who bites
Bitis,a genus of Viperidae
Bitok,a Russian dish made with patties of ground meat (mixed with onions and bread and milk) and served with a sauce of sour cream
Bitty,(used informally) very small
Bizet,French composer best known for his operas (1838-1875)
Black,marked by anger or resentment or hostility
Blade,the flat part of a tool or weapon that (usually) has a cutting edge
Blahs,a general feeling of boredom and dissatisfaction
Blain,an inflammatory swelling or sore
Blair,British statesman who became prime minister in 1997 (born in 1953)
Blake,visionary British poet and painter (1757-1827)
Blame,expletives used informally as intensifiers
Blanc,"a white sauce of fat, broth, and vegetables (used especially with braised meat)"
Bland,smoothly agreeable and courteous with a degree of sophistication
Blank,void of expression
Blare,a loud harsh or strident noise
Blase,nonchalantly unconcerned
Blast,a very long fly ball
Blate,disposed to avoid notice; ; (`blate' is a Scottish term for bashful)
Blaze,noisy and unrestrained mischief
Bleak,offering little or no hope; ; ; - J.M.Synge
Blear,tired to the point of exhaustion
Bleat,the sound of sheep or goats (or any sound resembling this)
Bleed,lose blood from one's body
Bleep,a short high tone produced as a signal or warning
Blend,the act of blending components together thoroughly
Bless,give a benediction to
Blest,highly favored or fortunate (as e.g. by divine grace)
Blida,a city in northern Algeria at the foot of the Atlas Mountains to the southwest of Algiers
Bligh,"British admiral; was captain of the H.M.S. Bounty in 1789 when part of the crew mutinied and set him afloat in an open boat; a few weeks later he arrived safely in Timor 4,000 miles away (1754-1817)"
Blimp,a small nonrigid airship used for observation or as a barrage balloon
Blind,unable or unwilling to perceive or understand
Bling,"flashy, ostentatious jewelry"
Caaba,(Islam) a black stone building in Mecca that is shaped like a cube and that is the most sacred Muslim pilgrim shrine; believed to have been given by Gabriel to Abraham; Muslims turn in its direction when praying
Cabal,a plot to carry out some harmful or illegal act (especially a political plot)
Cabby,someone who drives a taxi for a living
Caber,a heavy wooden pole (such as the trunk of a young fir) that is tossed as a test of strength (in the Highlands of northern Scotland)
Cabin,the enclosed compartment of an aircraft or spacecraft where passengers are carried
Cable,a very strong thick rope made of twisted hemp or steel wire
Cabot,Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498)
Cacao,tropical American tree producing cacao beans
Cache,a hidden storage space (for money or provisions or weapons)
Cachi,"a mountain in the Andes in Argentina (22,047 feet high)"
Caddo,a family of North American Indian languages spoken widely in the Midwest by the Caddo
Caddy,a can for storing tea
Cadet,a military trainee (as at a military academy)
Cadge,obtain or seek to obtain by cadging or wheedling
Cadiz,an ancient port city in southwestern Spain
Cadra,a genus of Pyralidae
Cadre,a nucleus of military personnel capable of expansion
Cager,an athlete who plays basketball
Cagey,characterized by great caution and wariness
Cairn,small rough-haired breed of terrier from Scotland
Cairo,the capital of Egypt and the largest city in Africa; a major port just to the south of the Nile delta; formerly the home of the Pharaohs
Cajun,a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
Calan,a drug (trade names Calan and Isoptin) used as an oral or parenteral calcium blocker in cases of hypertension or congestive heart failure or angina or migraine
Calif,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
Calla,water arum
Calpe,location of a colony of the United Kingdom on a limestone promontory at the southern tip of Spain; strategically important because it can control the entrance of ships into the Mediterranean; one of the Pillars of Hercules
Calve,birth
Calyx,(botany) the whorl of sepals of a flower collectively forming the outer floral envelope or layer of the perianth enclosing and supporting the developing bud; usually green
Camas,any of several plants of the genus Camassia; North and South America
Camel,cud-chewing mammal used as a draft or saddle animal in desert regions
Cameo,engraving or carving in low relief on a stone (as in a brooch or ring)
Campy,providing sophisticated amusement by virtue of having artificially (and vulgarly) mannered or banal or sentimental qualities
Camus,French writer who portrayed the human condition as isolated in an absurd world (1913-1960)
Canal,long and narrow strip of water made for boats or for irrigation
Candy,a rich sweet made of flavored sugar and often combined with fruit or nuts
Canid,any of various fissiped mammals with nonretractile claws and typically long muzzles
Canis,type genus of the Canidae: domestic and wild dogs; wolves; jackals
Canna,any plant of the genus Canna having large sheathing leaves and clusters of large showy flowers
Canny,showing self-interest and shrewdness in dealing with others
Canoe,small and light boat; pointed at both ends; propelled with a paddle
Canon,a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired
Canto,a major division of a long poem
Canty,lively and brisk
Capek,Czech writer who introduced the word `robot' into the English language (1890-1938)
Caper,a ludicrous or grotesque act done for fun and amusement
Capet,King of France elected in 987 and founding the Capetian dynasty (940-996)
Capiz,marine bivalve common in Philippine coastal waters characterized by a large thin flat translucent shell
Capon,castrated male chicken
Capra,goats
Capri,an island (part of Campania) in the Bay of Naples in southern Italy; a tourist attraction noted for beautiful scenery
Caput,the upper part of the human body or the front part of the body in animals; contains the face and brains
Carat,the unit of measurement for the proportion of gold in an alloy; 18-karat gold is 75% gold; 24-karat gold is pure gold
Cards,a game played with playing cards
Caret,a mark used by an author or editor to indicate where something is to be inserted into a text
Carew,Englishman and Cavalier poet whose lyric poetry was favored by Charles I (1595-1639)
Carex,large genus of plants found in damp woodlands and bogs and ditches or at water margins: sedges
Cargo,goods carried by a large vehicle
Carib,the family of languages spoken by the Carib
Carob,powder from the ground seeds and pods of the carob tree; used as a chocolate substitute
Carol,a joyful song (usually celebrating the birth of Christ)
Carom,a shot in billiards in which the cue ball contacts one object ball and then the other
Carry,the act of carrying something
Carte,a list of dishes available at a restaurant
Carum,caraway
Carve,cut to pieces
Carya,genus of large deciduous nut-bearing trees; United States and China
Cased,enclosed in a case
Caste,in some social insects (such as ants) a physically distinct individual or group of individuals specialized to perform certain functions in the colony
Catch,the act of apprehending (especially apprehending a criminal)
Cater,supply food ready to eat; for parties and banquets
Catha,a genus of African evergreen shrubs characterized by thick leaves and white flowers
Catty,marked by or arising from malice
Cauda,any taillike structure
Caulk,a waterproof filler and sealant that is used in building and repair to make watertight
Causa,a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
Cause,any entity that produces an effect or is responsible for events or results
Cavia,type genus of the Caviidae: guinea pigs
Cavil,an evasion of the point of an argument by raising irrelevant distinctions or objections
Cavum,(anatomy) a natural hollow or sinus within the body
Cease,(`cease' is a noun only in the phrase `without cease') end
Cebus,type genus of the Cebidae
Cecal,of or like a cecum
Cecum,the cavity in which the large intestine begins and into which the ileum opens
Cedar,any cedar of the genus Cedrus
Ceiba,tropical American trees with palmately compound leaves and showy bell-shaped flowers
Ceibo,small South American spiny tree with dark crimson and scarlet flowers solitary or clustered
Cello,a large stringed instrument; seated player holds it upright while playing
Celom,a cavity in the mesoderm of an embryo that gives rise in humans to the pleural cavity and pericardial cavity and peritoneal cavity
Cense,perfume especially with a censer
Ceras,one of the often brightly colored and branching hornlike structures on the back of the nudibranch (and other related mollusks) that serve as gills
Ceres,the largest asteroid and the first discovered
Ceric,of or relating to or containing cerium especially with valence 4
Cetus,a large constellation on the equator near Pisces and Aquarius
Chafe,anger produced by some annoying irritation
Chaff,foil in thin strips; ejected into the air as a radar countermeasure
Chaga,a Bantu language spoken by the Chaga in northern Tanzania
Chain,a series of (usually metal) rings or links fitted into one another to make a flexible ligament
Chair,the position of professor
Chait,the first Hindu calendar month (corresponding to March in the Gregorian calendar)
Chaja,largest crested screamer; native to southern Brazil and Argentina
Chalk,"a piece of calcite or a similar substance, usually in the shape of a crayon, that is used to write or draw on blackboards or other flat surfaces"
Champ,someone who has won first place in a competition
Chang,the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai
Chant,a repetitive song in which as many syllables as necessary are assigned to a single tone
Chaos,(physics) a dynamical system that is extremely sensitive to its initial conditions
Chara,green algae common in freshwater lakes of limestone districts
Chard,long succulent whitish stalks with large green leaves
Chari,an African river that flows northwest into Lake Chad
Charm,something believed to bring good luck
Charr,any of several small trout-like fish of the genus Salvelinus
Chart,a map designed to assist navigation by air or sea
Chary,characterized by great caution and wariness
Chase,the act of pursuing in an effort to overtake or capture
Chasm,a deep opening in the earth's surface
Cheap,relatively low in price or charging low prices
Cheat,a deception for profit to yourself
Check,the act of inspecting or verifying
Cheek,impudent aggressiveness
Cheep,the short weak cry of a young bird
Cheer,the quality of being cheerful and dispelling gloom
Chela,a grasping structure on the limb of a crustacean or other arthropods
Chert,variety of silica containing microcrystalline quartz
Chess,a board game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king
Chest,box with a lid; used for storage; usually large and sturdy
Chevy,annoy continually or chronically
Chewa,a member of the Bantu-speaking people of Malawi and eastern Zambia and northern Zimbabwe
Chewy,(of a consistency) requiring chewing
Chian,of or relating to Chios
Chick,young bird especially of domestic fowl
Chico,United States comedian; one of four brothers who made motion pictures together (1891-1961)
Chide,censure severely or angrily
Chief,most important element
Child,a young person of either sex
Chile,very hot and finely tapering pepper of special pungency
Chili,very hot and finely tapering pepper of special pungency
Chill,coldness due to a cold environment
Chime,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
Chimp,intelligent somewhat arboreal ape of equatorial African forests
China,high quality porcelain originally made only in China
Chine,backbone of an animal
Chink,a short light metallic sound
Chino,a coarse twilled cotton fabric frequently used for uniforms
Chios,an island in the Aegean Sea off the west coast of Turkey; belongs to Greece
Chips,strips of potato fried in deep fat
Chirk,"make a shrill creaking, squeaking, or noise, as of a door, mouse, or bird"
Chirp,a sharp sound made by small birds or insects
Chirr,"make a vibrant noise, of grasshoppers or cicadas"
Chive,perennial having hollow cylindrical leaves used for seasoning
Chivy,annoy continually or chronically
Chock,as completely as possible
Choir,the area occupied by singers; the part of the chancel between sanctuary and nave
Choke,a valve that controls the flow of air into the carburetor of a gasoline engine
Choky,so tight as to tend to choke
Chomp,the act of gripping or chewing off with the teeth and jaws
Chord,a combination of three or more notes that blend harmoniously when sounded together
Chore,a specific piece of work required to be done as a duty or for a specific fee
Chuck,a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill
Chufa,European sedge having small edible nutlike tubers
Chuff,blow hard and loudly
Chump,a person who is gullible and easy to take advantage of
Chunk,a compact mass
Churl,a bad-tempered person
Churn,a vessel in which cream is agitated to separate butterfat from buttermilk
Churr,"make a vibrant sound, as of some birds"
Chute,sloping channel through which things can descend
Chyle,a milky fluid consisting of lymph and emulsified fats; formed in the small intestine during digestion of ingested fats
Chyme,a semiliquid mass of partially digested food that passes from the stomach through the pyloric sphincter into the duodenum
Cicer,chickpea plant; Asiatic herbs
Cider,a beverage made from juice pressed from apples
Cigar,a roll of tobacco for smoking
Cimex,type genus of the Cimicidae: bedbugs
